                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4106,                  4.037,                 1.9653,                0.00342,                      1,                0.48733,                0.18119,                  1.226,                 4.0142,                 2.0728,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.1941,                  3.796,                 1.7701,                0.00339,                      1,                0.50158,                0.29368,                 1.2976,                 3.9399,                 2.0898,              0.0002253,              0.0002253,              0.0002253
                      3,                 1.5117,                 3.5965,                 2.1037,                0.00333,                      1,                0.58865,                0.30848,                 1.3238,                 4.0409,                 2.0078,             0.00030749,             0.00030749,             0.00030749
                      4,                 1.4265,                 3.5146,                  1.932,                0.00336,                      1,                0.38235,                0.20391,                 1.3519,                 3.8904,                 1.9659,             0.00036329,             0.00036329,             0.00036329
                      5,                 1.2213,                 3.4492,                 1.7223,                0.00337,                      1,                0.38429,                0.20704,                 1.2833,                 3.7947,                  1.959,             0.00039268,             0.00039268,             0.00039268
                      6,                 1.0878,                  3.545,                 1.6036,                0.00337,                      1,                0.38429,                0.20704,                 1.2833,                 3.7947,                  1.959,             0.00039566,             0.00039566,             0.00039566
                      7,                 1.2673,                 3.3611,                 1.8138,                0.00335,                      1,                0.55775,                0.35069,                 1.2583,                 3.6771,                 1.8013,             0.00037224,             0.00037224,             0.00037224
                      8,                  1.265,                 3.0429,                 1.7806,                0.00335,                      1,                0.55775,                0.35069,                 1.2583,                 3.6771,                 1.8013,             0.00032241,             0.00032241,             0.00032241
                      9,                 1.2445,                 3.1813,                  1.699,                0.00335,                      1,                0.55775,                0.35069,                 1.2583,                 3.6771,                 1.8013,             0.00024618,             0.00024618,             0.00024618
                     10,                 1.2678,                 3.1629,                 1.9548,                 0.7782,                0.22307,                0.65483,                0.39992,                 1.1703,                  3.592,                 1.7767,             0.00014355,             0.00014355,             0.00014355
